Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Tissue Expression	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7D	chain D	3mq7AD	BST2_HUMAN - BST2_HUMAN	-14.099	-14.097	34	36	94.44%	adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.307805524	0.944444444	0.290705217	-4.098652857																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	CEP57_HUMAN	Centrosomal protein of 57 kDa	4l0rB	chain B	4l0rAB	CEP57_HUMAN - CEP57_HUMAN	-5.042	-6.013	25	29	86.21%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.545595892	0.431034483	0.235170643	-1.185730383																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	VIME_HUMAN	Vimentin	1gk4A	chain A	1gk4AB	VIME_HUMAN - VIME_HUMAN	-11.522	-44.842	53	79	67.09%	No expression data available	1.5	0.405396647	1.006329114	0.407962448	-4.700543328																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7I	chain I	3mq7IJ	BST2_HUMAN - BST2_HUMAN	-13.53	-31.598	50	81	61.73%	adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	2.0	0.284982846	1.234567901	0.351830674	-4.760269021																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	SKA2_HUMAN	Spindle and kinetochore-associated protein 2	4aj5Q	chain Q	4aj51Q	SKA2_HUMAN - SKA3_HUMAN	-13.449	-20.878	61	80	76.25%	No expression data available	2.0	0.162465063	1.525	0.24775922	-3.332113756																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	LMNB1_HUMAN	Lamin-B1	3tyyB	chain B	3tyyAB	LMNB1_HUMAN - LMNB1_HUMAN	-19.702	-40.454	59	71	83.10%	No expression data available	1.5	0.460747783	1.246478873	0.574312378	-11.31510247																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	BST2_HUMAN	Bone marrow stromal antigen 2	3nwhD	chain D	3nwhCD	BST2_HUMAN - BST2_HUMAN	-8.751	-14.646	40	44	90.91%	adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.435944661	0.909090909	0.396313328	-3.468137933																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	SKA3_HUMAN	Spindle and kinetochore-associated protein 3	4aj5V	chain V	4aj5AV	SKA3_HUMAN - SKA1_HUMAN	-11.647	-27.903	54	77	70.13%	epididymis, testis	1.5	0.494902703	1.051948052	0.520611934	-6.063567195																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	STIM1_HUMAN	Stromal interaction molecule 1	2makA	chain A	2makAD	STIM1_HUMAN - CRCM1_HUMAN	-13.793	-4.666	20	22	90.91%	No expression data available	0.5	0.209159365	0.454545455	0.095072439	-1.311334147																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	RGMC_HUMAN	Hemojuvelin	4ui1C	chain C	4ui1BC	RGMC_HUMAN - BMP2_HUMAN	-5.536	-5.601	20	25	80.00%	No expression data available	0.5	0.052813223	0.4	0.021125289	-0.1169496																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1	1go4H	chain H	1go4GH	MD1L1_HUMAN - MD1L1_HUMAN	-15.66	-25.707	45	57	78.95%	No expression data available	1.5	0.817783739	1.184210526	0.968428112	-15.16558424																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	AF10_HUMAN	Protein AF-10	6ckoB	chain B	6ckoBD	AF10_HUMAN - F1Q4W7_DANRE	-13.451	-22.206	48	48	100.00%	No expression data available	1.0	0.081243555	1.0	0.081243555	-1.092807055																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MAFA_HUMAN	Transcription factor MafA	4eotA	chain A	4eotAB	MAFA_HUMAN - MAFA_HUMAN	-12.071	-17.333	45	46	97.83%	No expression data available	1.0	0.170990871	0.97826087	0.167273679	-2.019160574																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	AF10_HUMAN	Protein AF-10	6ckoA	chain A	6ckoAC	AF10_HUMAN - F1Q4W7_DANRE	-6.998	-24.829	47	48	97.92%	No expression data available	1.0	0.141305231	0.979166667	0.138361372	-0.968252879																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	TNIP2_HUMAN	TNFAIP3-interacting protein 2	5h07C	chain C	5h07CD	TNIP2_HUMAN - TNIP2_HUMAN	-9.633	-32.741	48	66	72.73%	No expression data available	1.5	0.90987803	1.090909091	0.992594215	-9.56166007																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	SNP29_HUMAN	Synaptosomal-associated protein 29	4wy4D	chain D	4wy4AD	SNP29_HUMAN - VAMP8_HUMAN	-9.455	-21.602	54	60	90.00%	No expression data available	1.5	0.333231613	1.35	0.449862678	-4.253451617																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	INADL_HUMAN	InaD-like protein	1vf6B	chain B	1vf6AB	INADL_HUMAN - INADL_HUMAN	-10.136	-14.353	26	26	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.26101331	0.5	0.130506655	-1.322815456																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7H	chain H	3mq7GH	BST2_HUMAN - BST2_HUMAN	-5.421	-18.19	54	81	66.67%	adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	2.0	0.409877229	1.333333333	0.546502972	-2.962592614																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	KI21A_HUMAN	Kinesin-like protein KIF21A	5d3aB	chain B	5d3aAB	KI21A_HUMAN - KI21A_HUMAN	-9.102	-45.149	58	79	73.42%	No expression data available	1.5	0.269110027	1.101265823	0.296361675	-2.69748397																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	VIME_HUMAN	Vimentin	3trtA	chain A	3trtAB	VIME_HUMAN - VIME_HUMAN	-12.946	-29.395	56	71	78.87%	No expression data available	1.5	0.029325764	1.183098592	0.03469527	-0.44916497																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	GEMC1_HUMAN	Geminin coiled-coil domain-containing protein 1	5c9nB	chain B	5c9nAB	GEMC1_HUMAN - GEMC1_HUMAN	-13.498	-26.735	49	53	92.45%	No expression data available	1.5	0.487190189	1.386792453	0.675631677	-9.119676372																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	SNP25_HUMAN	Synaptosomal-associated protein 25	3rk2D	chain D	3rk2AD	SNP25_HUMAN - VAMP2_HUMAN	-11.218	-11.827	30	30	100.00%	No expression data available	1.0	0.209159365	1.0	0.209159365	-2.346349759																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	HOME3_HUMAN	Homer protein homolog 3	3cvfD	chain D	3cvfAD	HOME3_HUMAN - HOME3_HUMAN	-9.363	-9.216	32	32	100.00%	No expression data available	1.0	0.0	1.0	0	0																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	GEMI_HUMAN	Geminin	1uiiB	chain B	1uiiAB	GEMI_HUMAN - GEMI_HUMAN	-12.027	-34.98	55	61	90.16%	No expression data available	1.5	0.832653478	1.352459016	1.126129704	-13.54396195																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	GEMI_HUMAN	Geminin	4bryA	chain A	4bryAB	GEMI_HUMAN - MCIN_HUMAN	-6.722	-30.715	52	54	96.30%	No expression data available	1.5	0.849825764	1.444444444	1.227526104	-8.251430469																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	STX6_HUMAN	Syntaxin-6	2npsD	chain D	2npsAD	STX6_HUMAN - VAMP4_MOUSE	-10.275	-22.704	55	63	87.30%	adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.471516115	1.30952381	0.617461579	-6.344417727																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	NEMO_HUMAN	NF-kappa-B essential modulator	3brvD	chain D	3brvAD	NEMO_HUMAN - IKKB_HUMAN	-11.022	-18.088	32	39	82.05%	No expression data available	1.0	0.153538513	0.820512821	0.125980318	-1.388555068																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	CP135_HUMAN	Centrosomal protein of 135 kDa	5fcnB	chain B	5fcnAB	CP135_HUMAN - CP135_HUMAN	-15.189	-16.155	50	52	96.15%	No expression data available	1.5	0.041473593	1.442307692	0.059817682	-0.908570767																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	THA11_HUMAN	THAP domain-containing protein 11	5ajsB	chain B	5ajsAB	THA11_HUMAN - THA11_HUMAN	-10.821	-32.604	51	60	85.00%	No expression data available	1.5	0.719986154	1.275	0.917982347	-9.933486976																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	TRAF2_HUMAN	TNF receptor-associated factor 2	3m0dB	chain B	3m0dBC	TRAF2_HUMAN - TRAF1_HUMAN	-10.53	-10.266	55	63	87.30%	No expression data available	1.5	0.377994775	1.30952381	0.494993157	-5.212277947																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	JIP3_HUMAN	C-Jun-amino-terminal kinase-interacting protein 3	4pxjB	chain B	4pxjAB	JIP3_HUMAN - JIP3_HUMAN	-8.719	-32.713	51	55	92.73%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.016411715	1.390909091	0.022827204	-0.199030388																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1	1go4G	chain G	1go4GH	MD1L1_HUMAN - MD1L1_HUMAN	-10.211	-25.707	46	57	80.70%	No expression data available	1.5	0.817783739	1.210526316	0.989948737	-10.10836655																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MARE3_HUMAN	Microtubule-associated protein RP/EB family member 3	3tq7B	chain B	3tq7AB	MARE3_HUMAN - MARE1_HUMAN	-13.371	-29.74	40	47	85.11%	No expression data available	1.0	0.75498121	0.85106383	0.6425372	-8.591364898																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	RFIP2_HUMAN	Rab11 family-interacting protein 2	3tsoD	chain D	3tsoCD	RFIP2_HUMAN - RFIP2_HUMAN	-12.02	-27.22	52	52	100.00%	adrenal gland, appendix, breast, bronchus, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder	1.5	0.514901502	1.5	0.772352254	-9.283674087																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1	1go4E	chain E	1go4EF	MD1L1_HUMAN - MD1L1_HUMAN	-9.477	-21.955	47	62	75.81%	No expression data available	1.5	0.621781956	1.137096774	0.707026257	-6.700487837																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MSL1_HUMAN	Male-specific lethal 1 homolog	4b86B	chain B	4b86AB	MSL1_HUMAN - MSL1_HUMAN	-14.186	-24.433	43	45	95.56%	No expression data available	1.0	0.436098803	0.955555556	0.416716634	-5.911542164																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	VIME_HUMAN	Vimentin	4yv3C	chain C	4yv3AC	VIME_HUMAN - VIME_HUMAN	-11.015	-19.031	52	62	83.87%	No expression data available	1.5	0.213924842	1.258064516	0.269131252	-2.964480745																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzlD	chain D	4jzlAD	BAP31_HUMAN - BAP31_HUMAN	-9.54	-34.101	51	62	82.26%	No expression data available	1.5	0.767504035	1.233870968	0.947000946	-9.034389028																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	SNP25_HUMAN	Synaptosomal-associated protein 25	1kilD	chain D	1kilAD	SNP25_HUMAN - VAMP2_RAT	-8.885	-25.907	53	61	86.89%	No expression data available	1.5	0.161412456	1.303278689	0.210365414	-1.869096705																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7	5gjqU	chain U	5gjqOU	PSMD7_HUMAN - PSD13_HUMAN	-7.104	-11.266	35	52	67.31%	No expression data available	1.5	0.83536897	1.009615385	0.843401364	-5.99152329																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	NEMO_HUMAN	NF-kappa-B essential modulator	3cl3E	chain E	3cl3DE	NEMO_HUMAN - NEMO_HUMAN	-12.689	-20.38	45	49	91.84%	No expression data available	1.0	0.140645068	0.918367347	0.129163838	-1.638959937																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	TRI63_HUMAN	E3 ubiquitin-protein ligase TRIM63	4m3lC	chain C	4m3lAC	TRI63_HUMAN - TRI63_HUMAN	-10.908	-14.869	39	39	100.00%	No expression data available	1.0	0.162465063	1.0	0.162465063	-1.772168903																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	P73_HUMAN	Tumor protein p73	2wqiB	chain B	2wqiAB	P73_HUMAN - P73_HUMAN	-16.813	-25.557	20	28	71.43%	No expression data available	0.5	0.756883825	0.357142857	0.270315652	-4.544817053																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	HIP1_HUMAN	Huntingtin-interacting protein 1	2qa7B	chain B	2qa7AB	HIP1_HUMAN - HIP1_HUMAN	-8.34	-34.947	51	70	72.86%	No expression data available	1.5	0.765000842	1.092857143	0.836036635	-6.972545535																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	APC_HUMAN	Adenomatous polyposis coli protein	1debA	chain A	1debAB	APC_HUMAN - APC_HUMAN	-12.992	-24.884	43	45	95.56%	No expression data available	1.0	0.648199149	0.955555556	0.619390298	-8.047118754																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	AIMP1_HUMAN	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	4r3zA	chain A	4r3zAB	AIMP1_HUMAN - SYRC_HUMAN	-9.67	-12.167	45	59	76.27%	No expression data available	1.5	0.100298992	1.144067797	0.114748847	-1.109621348																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	STK4_HUMAN	Serine/threonine-protein kinase 4	4nr2B	chain B	4nr2AB	STK4_HUMAN - STK4_HUMAN	-10.269	-18.957	47	51	92.16%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.969731562	1.382352941	1.340511277	-13.7657103																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	SCOC_HUMAN	Short coiled-coil protein	4bwdA	chain A	4bwdAB	SCOC_HUMAN - SCOC_HUMAN	-9.571	-28.5	53	57	92.98%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.155960467	1.394736842	0.217523809	-2.081920379																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	JUN_HUMAN	Transcription factor AP-1	1a02J	chain J	1a02FJ	JUN_HUMAN - FOS_HUMAN	-8.818	-20.486	35	35	100.00%	No expression data available	1.0	0.173400927	1.0	0.173400927	-1.529049374																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	STK4_HUMAN	Serine/threonine-protein kinase 4	4oh8A	chain A	4oh8AB	STK4_HUMAN - RASF5_HUMAN	-12.392	-23.65	46	46	100.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.814245665	1.0	0.814245665	-10.09013228																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	MARE1_HUMAN	Microtubule-associated protein RP/EB family member 1	3tq7A	chain A	3tq7AB	MARE1_HUMAN - MARE3_HUMAN	-9.526	-29.74	39	49	79.59%	No expression data available	1.0	0.75498121	0.795918367	0.600903412	-5.724205901																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3xA	chain A	4n3xAB	RABX5_HUMAN - RABX5_HUMAN	-10.082	-11.827	47	51	92.16%	No expression data available	1.5	0.451915775	1.382352941	0.624707101	-6.298296989																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	FOSB_HUMAN	Protein fosB	5vpaA	chain A	5vpaAB	FOSB_HUMAN - JUND_HUMAN	-12.215	-24.908	48	50	96.00%	appendix, bronchus, cervix, uterine, esophagus, fallopian tube, gallbladder, kidney, lymph node, nasopharynx, oral mucosa, ovary, placenta, rectum, salivary gland, skin 2, soft tissue 1, soft tissue 2, spleen, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.420589279	1.44	0.605648561	-7.397997175																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	CNGA3_HUMAN	Cyclic nucleotide-gated cation channel alpha-3	3swyC	chain C	3swyAC	CNGA3_HUMAN - CNGA3_HUMAN	-9.819	-12.705	46	46	100.00%	adrenal gland, cerebral cortex, hypothalamus, smooth muscle	1.0	0.772291986	1.0	0.772291986	-7.583135015																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	JUN_HUMAN	Transcription factor AP-1	1junB	chain B	1junAB	JUN_HUMAN - JUN_HUMAN	-15.62	-16.578	37	37	100.00%	No expression data available	1.0	0.32959884	1.0	0.32959884	-5.148333884																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	STRN3_HUMAN	Striatin-3	4n6jB	chain B	4n6jAB	STRN3_HUMAN - STRN3_HUMAN	-15.949	-24.65	43	45	95.56%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder	1.0	0.184885497	0.955555556	0.176668363	-2.817683728																																																																																	
3nwaD	HUMAN HERPESVIRUS 1	ENVELOPE GLYCOPROTEIN B	CEP55_HUMAN	Centrosomal protein of 55 kDa	3e1rB	chain B	3e1rAB	CEP55_HUMAN - CEP55_HUMAN	-15.097	-17.939	44	44	100.00%	adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, colon, duodenum, epididymis, esophagus, gallbladder, kidney, lung, lymph node, parathyroid gland, placenta, rectum, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, stomach 1, testis, thyroid gland, tonsil, urinary bladder	1.0	0.748670706	1.0	0.748670706	-11.30268165																																																																																	
