Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
5ttcA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	LPXN_HUMAN	Leupaxin	4xefC	4xefAC	LPXN_HUMAN - FAK2_HUMAN	-6.319	-10.55	23	42	54.76%	No expression data available	1	0.539099328	0.547619048	0.295221061	-1.865501883
5ttcA	INFLUENZA A VIRUS (A/HICKOX/1940(H1N1))	MATRIX PROTEIN 2	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7	5gjqU	5gjqPU	PSMD7_HUMAN - PSD12_HUMAN	-7.776	-13.169	24	35	68.57%	No expression data available	1	0.515424903	0.685714286	0.353434219	-2.748304487
5v6gA	INFLUENZA A VIRUS (STRAIN A/WILSON-SMITH/193	MATRIX PROTEIN 1	TALDO_HUMAN	Transaldolase	1f05B	1f05AB	TALDO_HUMAN - TALDO_HUMAN	-5	-13.511	37	41	90.24%	No expression data available	1	0.729886168	0.902439024	0.658677762	-3.293388808
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.882	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.546789061
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	VINC_HUMAN	Vinculin	1ydiA	1ydiAB	VINC_HUMAN - ACTN4_HUMAN	-5.913	-27.987	24	24	100.00%	No expression data available	0.5	0.925734845	0.5	0.462867422	-2.736935069
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-7.878	-10.13	18	28	64.29%	No expression data available	0.5	0.180863211	0.321428571	0.058134604	-0.457984407
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-5.778	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.571510271
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-5.515	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.483281817
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	DCNL1_HUMAN	DCN1-like protein 1	4p5oE	4p5oAE	DCNL1_HUMAN - CUL1_HUMAN	-5.32	-5.422	25	30	83.33%	No expression data available	1	0.247266488	0.833333333	0.206055406	-1.096214762
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-6.506	-16.661	26	29	89.66%	No expression data available	0.5	0.82681418	0.448275862	0.370640839	-2.4113893
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-9.25	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-6.843023119
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	NCBP2_HUMAN	Nuclear cap-binding protein subunit 2	1h6kZ	1h6kBZ	NCBP2_HUMAN - NCBP1_HUMAN	-5.635	-9.358	17	28	60.71%	No expression data available	0.5	0.6991732	0.303571429	0.212249007	-1.196023155
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	ING4_HUMAN	Inhibitor of growth protein 4	4aflA	4aflAF	ING4_HUMAN - ING4_HUMAN	-10.424	-9.225	26	26	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.162465063	0.5	0.081232531	-0.846767906
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1x79C	1x79BC	RABE1_HUMAN - RABE1_HUMAN	-9.422	-19.618	25	45	55.56%	No expression data available	1	0.293413078	0.555555556	0.163007265	-1.535854454
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-7.31	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.7265277
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-6.93	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.930921945
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1	5zkoC	5zkoAC	CREB1_HUMAN - CREB1_HUMAN	-6.555	-18.829	25	37	67.57%	No expression data available	1	0.068354302	0.675675676	0.046185339	-0.302744898
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	NDUC1_HUMAN	"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial"	5xtcf	5xtcfg	NDUC1_HUMAN - NDUC2_HUMAN	-7.247	-15.521	22	36	61.11%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.193999031	0.611111111	0.118554963	-0.85916782
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-8.298	-21.108	25	41	60.98%	No expression data available	1	0.719951511	0.609756098	0.438994824	-3.642779047
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-8.966	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.122655989
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-12.007	-18.038	25	43	58.14%	No expression data available	1	0.415689296	0.581395349	0.241679823	-2.901849637
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.561	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	2xusB	2xusAB	BRMS1_HUMAN - BRMS1_HUMAN	-6.303	-13.471	25	41	60.98%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.003130301	0.609756098	0.00190872	-0.012030661
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-6.285	-12.548	25	35	71.43%	No expression data available	1	0.493264034	0.714285714	0.352331453	-2.21440318
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-6.484	-6.608	25	35	71.43%	No expression data available	1	0.345504839	0.714285714	0.246789171	-1.600180982
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-7.092	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-4.11923949
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.624	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.02133405
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	NUP54_HUMAN	Nucleoporin p54	4jnuD	4jnuAD	NUP54_HUMAN - NUP54_HUMAN	-5.326	-17.834	25	36	69.44%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.175932169	0.694444444	0.122175117	-0.650704674
6ya5A	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-6.164	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-3.343510567
5v7bA	INFLUENZA A VIRUS (STRAIN A/WILSON-SMITH/193	MATRIX PROTEIN 1	IQGA1_HUMAN	Ras GTPase-activating-like protein IQGAP1	3i6xD	3i6xAD	IQGA1_HUMAN - IQGA1_HUMAN	-5.72	-10.907	31	33	93.94%	No expression data available	1	0.314758353	0.939393939	0.295682089	-1.691301549
5v7bA	INFLUENZA A VIRUS (STRAIN A/WILSON-SMITH/193	MATRIX PROTEIN 1	HBB_HUMAN	Hemoglobin subunit beta	3w4uB	3w4uAB	HBB_HUMAN - HBAZ_HUMAN	-5.786	-18.082	29	41	70.73%	No expression data available	1	0.874984537	0.707317073	0.618891502	-3.580906229
5v7bA	INFLUENZA A VIRUS (STRAIN A/WILSON-SMITH/193	MATRIX PROTEIN 1	B2CL1_HUMAN	Bcl-2-like protein 1	4tuhE	4tuhAE	B2CL1_HUMAN - B2CL1_HUMAN	-7.18	-12.526	32	38	84.21%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, pancreas, rectum, salivary gland, skeletal muscle, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.11827705	0.842105263	0.099601727	-0.715140397
5v7bA	INFLUENZA A VIRUS (STRAIN A/WILSON-SMITH/193	MATRIX PROTEIN 1	B2CL1_HUMAN	Bcl-2-like protein 1	4tuhB	4tuhBF	B2CL1_HUMAN - B2CL1_HUMAN	-6.041	-12.305	34	38	89.47%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, pancreas, rectum, salivary gland, skeletal muscle, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.452301892	0.894736842	0.404691166	-2.444739337
5v7bA	INFLUENZA A VIRUS (STRAIN A/WILSON-SMITH/193	MATRIX PROTEIN 1	S10A8_HUMAN	Protein S100-A8	1xk4B	1xk4AB	S10A8_HUMAN - S10A8_HUMAN	-5.566	-7.109	19	21	90.48%	No expression data available	0.5	0	0.452380952	0	0
4b7rA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	NEURAMINIDASE	GNAO_HUMAN	Guanine nucleotide-binding protein G(o) subunit alpha	6g79A	6g79AB	GNAO_HUMAN - GBB1_HUMAN	-6.505	-5.164	66	73	90.41%	No expression data available	1.5	0.806743398	1.356164384	1.094076663	-7.116968694
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	CIP2A_HUMAN	Protein CIP2A	5uflB	5uflAB	CIP2A_HUMAN - CIP2A_HUMAN	-5.527	-19.09	41	46	89.13%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.99895305	0.891304348	0.890371197	-4.921081604
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	APC7_HUMAN	Anaphase-promoting complex subunit 7	5g05Y	5g05EY	APC7_HUMAN - APC16_HUMAN	-5.191	-6.633	25	29	86.21%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.209159365	0.431034483	0.090154899	-0.46799408
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-7.361	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.684276483
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.077	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.268115045
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-5.147	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.451033819
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-9.492	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-7.022051399
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	GRB7_HUMAN	Growth factor receptor-bound protein 7	5eelF	5eelDF	GRB7_HUMAN - GRB7_HUMAN	-5.607	-6.514	19	23	82.61%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.000815624	0.413043478	0.000336888	-0.001888933
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-8.888	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-2.099230944
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1	5zkoC	5zkoAC	CREB1_HUMAN - CREB1_HUMAN	-8.758	-18.829	25	37	67.57%	No expression data available	1	0.068354302	0.675675676	0.046185339	-0.4044912
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-8.843	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	4l9uAB	GRP1_HUMAN - GRP1_HUMAN	-8.335	-20.211	25	42	59.52%	No expression data available	1	0.781480089	0.595238095	0.465166719	-3.877164606
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-6.884	-12.548	26	35	74.29%	No expression data available	1	0.493264034	0.742857143	0.366424711	-2.522467709
4ln7A	INFLUENZA A VIRU	POLYMERASE PA	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-5.949	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-3.226889092
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	M3K3_HUMAN	Mitogen-activated protein kinase kinase kinase 3	4y5oB	4y5oAB	M3K3_HUMAN - CCM2_HUMAN	-9.874	-22.79	50	52	96.15%	No expression data available	1.5	0.936684482	1.442307692	1.350987234	-13.33964795
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	VAMP8_HUMAN	Vesicle-associated membrane protein 8	4wy4A	4wy4AB	VAMP8_HUMAN - STX17_HUMAN	-10.562	-31.445	48	58	82.76%	No expression data available	1.5	0.740694859	1.24137931	0.919483274	-9.711582338
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	HOME3_HUMAN	Homer protein homolog 3	3cvfB	3cvfAB	HOME3_HUMAN - HOME3_HUMAN	-7.647	-12.989	41	50	82.00%	No expression data available	1.5	0.753576157	1.23	0.926898674	-7.087994157
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	GHR_HUMAN	Growth hormone receptor	5ohdB	5ohdAB	GHR_HUMAN - GHR_HUMAN	-8.345	-6.925	22	22	100.00%	No expression data available	0.5	0	0.5	0	0
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NUP54_HUMAN	Nucleoporin p54	4jnuD	4jnuBD	NUP54_HUMAN - NUP54_HUMAN	-5.062	-10.261	35	38	92.11%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.162465063	0.921052632	0.149638873	-0.757471977
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	GLPA_HUMAN	Glycophorin-A	1afoA	1afoAB	GLPA_HUMAN - GLPA_HUMAN	-5.489	-7.06	24	25	96.00%	No expression data available	0.5	0.019565752	0.48	0.009391561	-0.051550279
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	M3K3_HUMAN	Mitogen-activated protein kinase kinase kinase 3	4yl6B	4yl6AB	M3K3_HUMAN - CCM2_HUMAN	-11.512	-17.442	45	47	95.74%	No expression data available	1	0.944682483	0.957446809	0.904483228	-10.41241092
2znlA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	XPC_HUMAN	DNA repair protein complementing XP-C cells	2obhD	2obhCD	XPC_HUMAN - XPC_HUMAN	-7.342	-7.185	16	16	100.00%	No expression data available	0.5	0	0.5	0	0
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-5.1	-16.895	43	47	91.49%	No expression data available	1	0.886253419	0.914893617	0.810827596	-4.135220741
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	XPO1_HUMAN	Exportin-1	1w9cB	1w9cAB	XPO1_HUMAN - XPO1_HUMAN	-7.34	-14.983	38	49	77.55%	No expression data available	1	0.980260797	0.775510204	0.760202251	-5.57988452
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	ATG5_HUMAN	Autophagy protein 5	4gdkB	4gdkBC	ATG5_HUMAN - A16L1_HUMAN	-6.98	-21.906	31	33	93.94%	No expression data available	1	0.849657354	0.939393939	0.798162969	-5.571177526
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	CO3A1_HUMAN	Collagen alpha-1(III) chain	4ae2C	4ae2AC	CO3A1_HUMAN - CO3A1_HUMAN	-5.657	-6.563	25	27	92.59%	No expression data available	0.5	0.09609316	0.462962963	0.044487574	-0.251666205
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	S6B2B6_HUMAN	S6B2B6_HUMAN	5w6gH	5w6gAH	S6B2B6_HUMAN - A7UPX0_9INFA	-7.183	-6.524	31	31	100.00%	No expression data available	1	6.02910387909e-05	1	6.02910387909e-05	-0.000433071
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	DCK_HUMAN	Deoxycytidine kinase	5mqjD	5mqjBD	DCK_HUMAN - DCK_HUMAN	-5.258	-5.323	21	26	80.77%	"appendix, bone marrow, lymph node, skin 2, spleen, tonsil"	0.5	0.130763912	0.403846154	0.052808503	-0.277667108
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	3slaD	3slaDE	CTNB1_HUMAN - CTNB1_HUMAN	-7.17	-10.095	31	38	81.58%	No expression data available	1	0.410107577	0.815789474	0.334561445	-2.398805559
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	HIP1R_HUMAN	Huntingtin-interacting protein 1-related protein	1r0dI	1r0dAI	HIP1R_HUMAN - HIP1R_HUMAN	-6.663	-4.155	42	43	97.67%	No expression data available	1	4.1781076491e-06	0.976744186	4.08094235494e-06	-2.72E-05
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	CLC4K_HUMAN	C-type lectin domain family 4 member K	3kqgC	3kqgAC	CLC4K_HUMAN - CLC4K_HUMAN	-7.677	-14.584	45	58	77.59%	No expression data available	1.5	0.360987575	1.163793103	0.42011485	-3.225221704
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	IL2_HUMAN	Interleukin-2	3qb1B	3qb1AB	IL2_HUMAN - IL2_HUMAN	-5.535	-12.721	35	45	77.78%	No expression data available	1	0.007484812	0.777777778	0.005821521	-0.032222118
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	AL5AP_HUMAN	Arachidonate 5-lipoxygenase-activating protein	2q7mB	2q7mBF	AL5AP_HUMAN - AL5AP_HUMAN	-5.876	-6.481	28	31	90.32%	No expression data available	1	0	0.903225806	0	0
6n41A	INFLUENZA A VIRUS	HEMAGGLUTININ	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a	5ydkC	5ydkCF	RS27A_HUMAN - RN168_HUMAN	-5.235	-10.395	24	24	100.00%	No expression data available	0.5	0.190635031	0.5	0.095317516	-0.498987194
