Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD6_HUMAN	26S proteasome non-ATPase regulatory subunit 6	5ln3R	5ln3RU	PSMD6_HUMAN - PSMD7_HUMAN	-5.097	-4.068	29	29	100.00%	No expression data available	0.5	0	0.5	0	0	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	KAT8_HUMAN	Histone acetyltransferase KAT8	2y0mA	2y0mAB	KAT8_HUMAN - MSL1_MOUSE	-5.656	-13.09	24	29	82.76%	No expression data available	0.5	0.928034069	0.413793103	0.384014097	-2.171983735	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ROGDI_HUMAN	Protein rogdi homolog	5xqiA	5xqiAC	ROGDI_HUMAN - ROGDI_HUMAN	-7.227	-14.03	33	34	97.06%	No expression data available	1	0.058672988	0.970588235	0.056947312	-0.411558226	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	HPT_HUMAN	Haptoglobin	4wjg2	4wjg24	HPT_HUMAN - I7BA80_TRYBB	-5.107	-7.739	24	24	100.00%	No expression data available	0.5	0.034832631	0.5	0.017416315	-0.088945122	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ANC2_HUMAN	Anaphase-promoting complex subunit 2	5lcwN	5lcwNS	ANC2_HUMAN - BUB1B_HUMAN	-6.057	-8.13	17	25	68.00%	No expression data available	0.5	0.615693431	0.34	0.209335767	-1.267946739	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	COG4_HUMAN	Conserved oligomeric Golgi complex subunit 4	3hr0B	3hr0AB	COG4_HUMAN - COG4_HUMAN	-5.125	-43.147	52	80	65.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.811938346	1.3	1.055519849	-5.409539228	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3	5ln3S	5ln3SU	PSMD3_HUMAN - PSMD7_HUMAN	-6.883	-7.103	31	33	93.94%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.157569601	0.939393939	0.148019928	-1.018821164	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	VINC_HUMAN	Vinculin	4ehpA	4ehpAB	VINC_HUMAN - CTNA1_HUMAN	-11.474	-37.465	38	51	74.51%	No expression data available	1.5	0.999898373	1.117647059	1.117533476	-12.8225791	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	VINC_HUMAN	Vinculin	3tj5A	3tj5AB	VINC_HUMAN - B0BXR4_RICRO	-9.025	-26.269	24	25	96.00%	No expression data available	0.5	0.933806882	0.48	0.448227303	-4.045251414	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	NR4A1_HUMAN	Nuclear receptor subfamily 4 group A member 1	3v3eB	3v3eAB	NR4A1_HUMAN - NR4A1_HUMAN	-6.536	-12.22	17	27	62.96%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.265027401	0.314814815	0.083434552	-0.545328232	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	TRBC1_HUMAN	T cell receptor beta constant 1	4jfdE	4jfdAE	TRBC1_HUMAN - 1A02_HUMAN	-5.864	-9.656	18	25	72.00%	No expression data available	0.5	0.209159365	0.36	0.075297371	-0.441543786	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	VINC_HUMAN	Vinculin	2gwwA	2gwwAB	VINC_HUMAN - IPAA_SHIFL	-11.309	-23.71	20	21	95.24%	No expression data available	0.5	0.882448846	0.476190476	0.420213736	-4.752197145	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSA5_HUMAN	Proteasome subunit alpha type-5	4r67u	4r673u	PSA5_HUMAN - PSB5_HUMAN	-6.013		23	24	95.83%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.406191245	0.479166667	0.194633305	-1.170330061	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uA	4q9uAC	RABX5_HUMAN - RABE1_HUMAN	-7.15	-9.639	48	51	94.12%	No expression data available	1.5	0.044440511	1.411764706	0.062739545	-0.448587745	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD8_HUMAN	26S proteasome non-ATPase regulatory subunit 8	5l4kT	5l4kTV	PSMD8_HUMAN - PSDE_HUMAN	-7.807	-6.97	23	23	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.634182372	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	DPOLL_HUMAN	DNA polymerase lambda	5ddyG	5ddyEG	DPOLL_HUMAN - DPOLL_HUMAN	-5.054	-6.2	24	29	82.76%	No expression data available	0.5	0.221582355	0.413793103	0.09168925	-0.463397471	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7	5ln3U	5ln3QU	PSMD7_HUMAN - PSD11_HUMAN	-5.719	-5.577	21	21	100.00%	No expression data available	0.5	0	0.5	0	0	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein	2ykoC	2ykoAC	LORF1_HUMAN - LORF1_HUMAN	-6.766	-18.18	49	67	73.13%	No expression data available	1.5	0.265027401	1.097014925	0.290739014	-1.967140169	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	UBC9_HUMAN	SUMO-conjugating enzyme UBC9	4y1lB	4y1lBC	UBC9_HUMAN - RWDD3_HUMAN	-6.637	-7.022	19	28	67.86%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, skin 1, skin 2, small intestine, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.200007634	0.339285714	0.067859733	-0.450385047	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	B2LA1_HUMAN	Bcl-2-related protein A1	5uulA	5uulAB	B2LA1_HUMAN - BBC3_HUMAN	-5.164	-21.51	23	23	100.00%	No expression data available	0.5	0.945050865	0.5	0.472525433	-2.440121335	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ARL1_HUMAN	ADP-ribosylation factor-like protein 1	4dcnA	4dcnAC	ARL1_HUMAN - ARFP2_HUMAN	-5.285	-8.262	21	36	58.33%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.852587966	0.583333333	0.49734298	-2.62845765	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CNTF_HUMAN	Ciliary neurotrophic factor	1cnt1	1cnt14	CNTF_HUMAN - CNTF_HUMAN	-6.829	-14.992	31	41	75.61%	No expression data available	1	0.087528528	0.756097561	0.066180106	-0.451943946	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	UB2G2_HUMAN	Ubiquitin-conjugating enzyme E2 G2	4ladA	4ladAB	UB2G2_HUMAN - AMFR_HUMAN	-6.505	-20.226	26	43	60.47%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, pancreas, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.561427389	0.604651163	0.339467724	-2.208237543	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	XRCC4_HUMAN	DNA repair protein XRCC4	3q4fD	3q4fCD	XRCC4_HUMAN - XRCC4_HUMAN	-16.47	-27.16	43	63	68.25%	No expression data available	1.5	0.994558117	1.023809524	1.018238072	-16.77038104	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	NGB_HUMAN	Neuroglobin	1oj6B	1oj6AB	NGB_HUMAN - NGB_HUMAN	-7.164	-7.045	29	33	87.88%	No expression data available	1	0.035654669	0.878787879	0.031332891	-0.224468833	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ANK1_HUMAN	Ankyrin-1	3kbtD	3kbtAD	ANK1_HUMAN - SPTB1_HUMAN	-5.214	-13.565	28	43	65.12%	No expression data available	1	0.553810288	0.651162791	0.360620652	-1.880276082	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RTF1_HUMAN	RNA polymerase-associated protein RTF1 homolog	4l1uE	4l1uBE	RTF1_HUMAN - RTF1_HUMAN	-5.047	-3.967	20	30	66.67%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.000644297	0.666666667	0.000429531	-0.002167844	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RAB10_HUMAN	Ras-related protein Rab-10	5lpnC	5lpnBC	RAB10_HUMAN - MICA1_HUMAN	-5.721	-7.308	29	39	74.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.555056359	0.743589744	0.412734216	-2.361252448	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	SNX16_HUMAN	Sorting nexin-16	5gw1B	5gw1AB	SNX16_HUMAN - SNX16_HUMAN	-10.352	-13.081	47	56	83.93%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.422996226	1.258928571	0.532522035	-5.512668102	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	SNX16_HUMAN	Sorting nexin-16	5gw0D	5gw0BD	SNX16_HUMAN - SNX16_HUMAN	-5.418	-5.43	46	60	76.67%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.069604274	1.15	0.080044915	-0.433683347	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	IL2_HUMAN	Interleukin-2	1m48B	1m48AB	IL2_HUMAN - IL2_HUMAN	-6.73	-11.065	28	28	100.00%	No expression data available	0.5	0.000729254	0.5	0.000364627	-0.00245394	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	STAT1_HUMAN	Signal transducer and activator of transcription 1-alpha/beta	3wwtA	3wwtAB	STAT1_HUMAN - C_SENDZ	-6.629	-10.909	33	45	73.33%	"appendix, bone marrow, bronchus, cerebral cortex, colon, duodenum, epididymis, gallbladder, kidney, lung, lymph node, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, small intestine, spleen, testis, thyroid gland, tonsil, urinary bladder"	1	0.416896	0.733333333	0.305723733	-2.026642626	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	APC7_HUMAN	Anaphase-promoting complex subunit 7	3fflC	3fflAC	APC7_HUMAN - APC7_HUMAN	-5.206	-11.098	19	30	63.33%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.178591079	0.633333333	0.113107684	-0.588838601	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	MYL6B_HUMAN	Myosin light chain 6B	1oe9B	1oe9AB	MYL6B_HUMAN - MYO5A_CHICK	-14.463	-28.171	33	37	89.19%	No expression data available	1	0.851540261	0.891891892	0.759481855	-10.98438606	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	5k8qA	5k8qAB	CALM2_HUMAN - STRA6_DANRE	-18.497	-27.092	21	24	87.50%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.711343292	0.4375	0.31121269	-5.756501135	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	3ewvA	3ewvAE	CALM2_HUMAN - TNR16_HUMAN	-12.655	-20.812	16	17	94.12%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.860047648	0.470588235	0.404728305	-5.1218367	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM1_HUMAN	Calmodulin-1	5v02R	5v02BR	CALM1_HUMAN - KCNN2_HUMAN	-11.691	-21.993	25	38	65.79%	No expression data available	1	0.113607001	0.657894737	0.074741448	-0.873802269	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	RM18_HUMAN	"39S ribosomal protein L18, mitochondrial"	5oolP	5oolPp	RM18_HUMAN - ICT1_HUMAN	-5.142	-6.026	17	17	100.00%	No expression data available	0.5	0.019348059	0.5	0.009674029	-0.049743859	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	3g43C	3g43CF	CALM2_HUMAN - CAC1C_HUMAN	-6.976	-11.105	31	31	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.698465216	1	0.698465216	-4.872493347	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	NDUB9_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	5xtcp	5xtcbp	NDUB9_HUMAN - NDUB6_HUMAN	-7.644	-11.615	30	30	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.805591512	1	0.805591512	-6.15794152	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	4dckB	4dckAB	CALM2_HUMAN - SCN5A_HUMAN	-9.672	-19.615	26	26	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.674476417	0.5	0.337238208	-3.261767951	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	4l79B	4l79AB	CALM2_HUMAN - MYO1B_RAT	-13.882	-30.81	36	51	70.59%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.884447236	1.058823529	0.936473544	-13.00012574	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	1yr5A	1yr5AB	CALM2_HUMAN - DAPK1_HUMAN	-5.319	-26.159	19	19	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.923123591	0.5	0.461561796	-2.455047191	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	4jpzC	4jpzBC	CALM2_HUMAN - SCN2A_HUMAN	-18.053	-26.622	29	39	74.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.837541698	0.743589744	0.622787416	-11.24318122	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM1_HUMAN	Calmodulin-1	6dafA	6dafAC	CALM1_HUMAN - CAC1C_HUMAN	-6.791	-26.649	19	19	100.00%	No expression data available	0.5	0.937026644	0.5	0.468513322	-3.18167397	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM1_HUMAN	Calmodulin-1	5wsvA	5wsvAB	CALM1_HUMAN - MYO7A_MOUSE	-7.795	-30.472	29	29	100.00%	No expression data available	0.5	0.890281695	0.5	0.445140848	-3.469872907	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM2_HUMAN	Calmodulin-2	5i0iC	5i0iAC	CALM2_HUMAN - MYO10_HUMAN	-15.037	-21.056	32	42	76.19%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.737238437	0.761904762	0.561705476	-8.446365241	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	NPTN_HUMAN	Neuroplastin	6a69B	6a69AB	NPTN_HUMAN - AT2B1_HUMAN	-6.454	-14.688	23	34	67.65%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, rectum, salivary gland, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.479279618	0.676470588	0.324218565	-2.092506617	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	ABI2_HUMAN	Abl interactor 2	3p8cF	3p8cEF	ABI2_HUMAN - BRK1_HUMAN	-8.475	-19.449	49	55	89.09%	No expression data available	1.5	0.27534663	1.336363636	0.367963223	-3.118488317	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	CALM1_HUMAN	Calmodulin-1	6cnoE	6cnoAE	CALM1_HUMAN - KCNN4_HUMAN	-9.002	-16.346	26	41	63.41%	No expression data available	1	0.622288001	0.634146341	0.394621659	-3.552384177	
7nx5E	HUMAN GAMMAHERPESVIRUS 4	MEZRE2 DNA (TOP STRAND)	XRCC4_HUMAN	DNA repair protein XRCC4	3sr2B	3sr2AB	XRCC4_HUMAN - XRCC4_HUMAN	-9.154	-16.542	23	41	56.10%	No expression data available	1	0.389541992	0.56097561	0.218523556	-2.000364635	
