Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	3pk1A	3pk1AB	MCL1_HUMAN-BAX_HUMAN	-9.134	-17.23	24	24	100	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.841798902	0.5	0.420899451	-3.844495535	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	LRRF1_HUMAN	Leucine-rich repeat flightless-interacting protein 1	4h22B	4h22AB	LRRF1_HUMAN-LRRF1_HUMAN	-8.976	-40.59	64	81	79.01	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, thyroid gland, tonsil, urinary bladder, vagina"	2	0.486370257	1.580200076	0.768562317	-6.89861536	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	AZI2_HUMAN	5-azacytidine-induced protein 2	5ep6A	5ep6AD	AZI2_HUMAN-TBK1_HUMAN	-8.924	-14.712	37	44	84.09	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.433333995	0.840899944	0.364390522	-3.251821041	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CTIP_HUMAN	DNA endonuclease RBBP8	4d2hB	4d2hAB	CTIP_HUMAN-CTIP_HUMAN	-8.867	-12.165	35	35	100	"adrenal gland, appendix, bone marrow, breast, bronchus, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.162465063	1	0.162465066	-1.440577626	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CALM1_HUMAN	Calmodulin-1	6cnnE	6cnnAE	KCNN4_HUMAN-CALM1_HUMAN	-8.737	-19.306	37	38	97.37	No expression data available	1	0.663434263	0.973700047	0.645985961	-5.643979549	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	MYCBP_HUMAN	c-Myc-binding protein	2yy0A	2yy0AB	MYCBP_HUMAN-MYCBP_HUMAN	-8.573	-20.033	37	37	100	No expression data available	1	0.814583917	1	0.814583898	-6.983427525	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1	2v66C	2v66CD	NDEL1_HUMAN-NDEL1_HUMAN	-8.561	-21.422	51	74	68.92	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, nasopharynx, oral mucosa, placenta, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1.5	0.103920751	1.033800006	0.107433274	-0.919736266	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	VIME_HUMAN	Vimentin	1gk4A	1gk4AB	VIME_HUMAN-VIME_HUMAN	-8.408	-44.842	61	79	77.22	No expression data available	1.5	0.405396647	1.158300042	0.469570935	-3.948152304	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	EMAL4_HUMAN	Echinoderm microtubule-associated protein-like 4	4cgcC	4cgcAC	EMAL4_HUMAN-EMAL4_HUMAN	-8.28	-5.808	26	26	100	No expression data available	0.5	0.149278827	0.5	0.07463941	-0.618014276	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK	4ftgE	4ftgAE	S10AA_HUMAN-AHNK_HUMAN	-8.259	-6.335	23	30	76.67	No expression data available	1	0.209159365	0.76669997	0.160362467	-1.324433565	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	RB11A_HUMAN	Ras-related protein Rab-11A	6djlA	6djlAC	RB11A_HUMAN-3BP5_HUMAN	-8.064	-14.047	41	50	82	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.992523659	1.230000019	1.220804095	-9.844564438	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	TRAF1_HUMAN	TNF receptor-associated factor 1	5e1tA	5e1tAC	TRAF1_HUMAN-TRAF1_HUMAN	-7.871	-19.522	40	50	80	No expression data available	1.5	0.107825779	1.200000048	0.12939094	-1.018436074	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	SET_HUMAN	Protein SET	2e50B	2e50AB	SET_HUMAN-SET_HUMAN	-7.737	-42.475	50	69	72.46	No expression data available	1.5	0.98135544	1.086899996	1.066635251	-8.252556801	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5eoaC	5eoaAC	OPTN_HUMAN-TBK1_HUMAN	-7.709	-19.034	44	49	89.8	No expression data available	1	0.098883375	0.898000002	0.088797271	-0.684538186	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	NUP58_HUMAN	Nucleoporin p58/p45	4jq5B	4jq5AB	NUP58_HUMAN-NUP58_HUMAN	-7.644	-29.813	62	68	91.18	"appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.996775128	1.367699981	1.363289356	-10.42098427	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	GHR_HUMAN	Growth hormone receptor	5oekA	5oekAB	GHR_HUMAN-GHR_HUMAN	-7.429	-6.225	15	15	100	No expression data available	0.5	0	0.5	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	USH1C_HUMAN	Harmonin	2kbrA	2kbrAB	USH1C_HUMAN-CAD23_HUMAN	-7.4	-8.458	18	18	100	No expression data available	0.5	0.279820352	0.5	0.139910176	-1.035335302	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1	3mtsB	3mtsBC	SUV91_HUMAN-SUV91_HUMAN	-7.302	-10.095	25	35	71.43	No expression data available	1	0.746656662	0.714299977	0.533336818	-3.894425392	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	PK2L1_HUMAN	Polycystic kidney disease 2-like 1 protein	3te3B	3te3AB	PK2L1_HUMAN-PK2L1_HUMAN	-7.245	-11.332	33	34	97.06	No expression data available	1	0.451185012	0.970599949	0.437920153	-3.1727314	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	R3GEF_HUMAN	Guanine nucleotide exchange factor for Rab-3A	4li0D	4li0CD	R3GEF_HUMAN-R3GEF_HUMAN	-7.067	-25.867	60	66	90.91	No expression data available	1.5	0.125930207	1.363650084	0.171724737	-1.213578701	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein	2gl7F	2gl7DF	CTNB1_HUMAN-BCL9_HUMAN	-7.066	-8.358	23	26	88.46	No expression data available	0.5	0.209159365	0.442299992	0.092511185	-0.65368402	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	FAK2_HUMAN	Protein-tyrosine kinase 2-beta	3u3fC	3u3fAC	FAK2_HUMAN-FAK2_HUMAN	-6.947	-7.411	30	34	88.24	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, skin 1, skin 2, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.000240305	0.882399976	0.000212045	-0.001473075	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	RL40_HUMAN	Ubiquitin-60S ribosomal protein L40	4jioU	4jioAU	G0VBG6_NAUCC-RL40_HUMAN	-6.801	-6.329	18	18	100	No expression data available	0.5	0.162465063	0.5	0.081232533	-0.552462459	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	STIM1_HUMAN	Stromal interaction molecule 1	3teqC	3teqAC	STIM1_HUMAN-STIM1_HUMAN	-6.602	-18.702	25	43	58.14	No expression data available	1	0.042376592	0.581399977	0.024637749	-0.162658423	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	PDE9A_HUMAN	"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"	2hd1B	2hd1AB	PDE9A_HUMAN-PDE9A_HUMAN	-6.509	-11.487	40	50	80	No expression data available	1.5	0.855078873	1.200000048	1.026094675	-6.678850174	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	IL2_HUMAN	Interleukin-2	3qb1B	3qb1AB	IL2_HUMAN-IL2_HUMAN	-6.469	-12.721	35	45	77.78	No expression data available	1	0.007484812	0.777799964	0.005821687	-0.037660491	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CO3_HUMAN	Complement C3	3t4aB	3t4aBG	CO3_HUMAN-A0A0H3JZ23_STAAM	-6.439	-7.153	19	26	73.08	No expression data available	0.5	0	0.365400016	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CEP55_HUMAN	Centrosomal protein of 55 kDa	3e1rB	3e1rAB	CEP55_HUMAN-CEP55_HUMAN	-6.367	-17.939	44	44	100	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, colon, duodenum, epididymis, esophagus, gallbladder, kidney, lung, lymph node, parathyroid gland, placenta, rectum, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, stomach 1, testis, thyroid gland, tonsil, urinary bladder"	1	0.748670706	1	0.748670697	-4.766786575	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	NTRK1_HUMAN	High affinity nerve growth factor receptor	2n90A	2n90AB	NTRK1_HUMAN-NTRK1_HUMAN	-6.288	-4.477	30	30	100	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0	1	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	3slaA	3slaAC	CTNB1_HUMAN-CTNB1_HUMAN	-6.274	-9.047	25	29	86.21	No expression data available	0.5	0.507920296	0.431050003	0.218939051	-1.37362361	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	KAT2B_HUMAN	Histone acetyltransferase KAT2B	5lvqB	5lvqAB	KAT2B_HUMAN-KAT2B_HUMAN	-6.157	-6.196	30	32	93.75	No expression data available	1	0.06834673	0.9375	0.06407506	-0.39451015	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	PKCB1_HUMAN	Protein kinase C-binding protein 1	5mq4A	5mq4AD	PKCB1_HUMAN-PKCB1_HUMAN	-6.129	-30.069	65	87	74.71	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0	1.494199991	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	BRK1_HUMAN	Protein BRICK1	3p8cE	3p8cEF	BRK1_HUMAN-ABI2_HUMAN	-6.084	-19.449	55	57	96.49	No expression data available	1.5	0.27534663	1.447350025	0.398522973	-2.424613714	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	GFAP_HUMAN	Glial fibrillary acidic protein	6a9pB	6a9pBG	GFAP_HUMAN-GFAP_HUMAN	-6.027	-3.472	33	33	100	No expression data available	1	0	1	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	4l9uAB	GRP1_HUMAN-GRP1_HUMAN	-6.007	-20.211	42	42	100	No expression data available	1	0.781480089	1	0.781480074	-4.694350719	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	TLE1_HUMAN	Transducin-like enhancer protein 1	4om2A	4om2AD	TLE1_HUMAN-TLE1_HUMAN	-5.902	-6.723	17	17	100	No expression data available	0.5	0	0.5	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	TLR3_HUMAN	Toll-like receptor 3	2mkaA	2mkaAB	TLR3_HUMAN-TLR3_HUMAN	-5.873	-4.572	28	29	96.55	No expression data available	0.5	0	0.482750028	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	HIP1R_HUMAN	Huntingtin-interacting protein 1-related protein	1r0dA	1r0dAI	HIP1R_HUMAN-HIP1R_HUMAN	-5.842	-4.155	35	42	83.33	No expression data available	1	4.1781076491e-06	0.833299994	3.48161711372e-06	-2.03E-05	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	B2CL1_HUMAN	Bcl-2-like protein 1	3pl7A	3pl7AC	B2CL1_HUMAN-BAX_HUMAN	-5.819	-16.535	26	26	100	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, pancreas, rectum, salivary gland, skeletal muscle, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.953550094	0.5	0.47677505	-2.774353981	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	ANC2_HUMAN	Anaphase-promoting complex subunit 2	5lcwN	5lcwNS	ANC2_HUMAN-BUB1B_HUMAN	-5.762	-8.13	18	25	72	No expression data available	0.5	0.615693431	0.360000014	0.221649647	-1.277145267	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8	6c3oE	6c3oAE	KCJ11_HUMAN-ABCC8_HUMAN	-5.696	-18.273	45	60	75	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, fallopian tube, hippocampus, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, thyroid gland"	1.5	0.03012682	1.125	0.033892673	-0.193052664	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	PSMD8_HUMAN	26S proteasome non-ATPase regulatory subunit 8	5l4kT	5l4kTV	PSMD8_HUMAN-PSDE_HUMAN	-5.392	-6.97	23	23	100	No expression data available	0.5	0.162465063	0.5	0.081232533	-0.438005835	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4n3yA	4n3yAB	RABX5_HUMAN-RABE1_HUMAN	-5.364	-9.856	41	42	97.62	No expression data available	1	0.052749265	0.976200044	0.051493835	-0.276212931	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3	5gjqS	5gjqSU	PSMD3_HUMAN-PSMD7_HUMAN	-5.295	-3.705	33	34	97.06	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0	0.970599949	0	0	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	3slaD	3slaDE	CTNB1_HUMAN-CTNB1_HUMAN	-5.267	-10.095	32	38	84.21	No expression data available	1	0.410107577	0.842099965	0.345351577	-1.818966866	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	CHM2B_HUMAN	Charged multivesicular body protein 2b	2jqkB	2jqkAB	VPS4B_HUMAN-CHM2B_HUMAN	-5.236	-8.26	27	33	81.82	No expression data available	1	0.226092569	0.818199992	0.184988931	-0.968602061	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N	3hcuD	3hcuBD	UBE2N_HUMAN-UBE2N_HUMAN	-5.235	-6.342	25	28	89.29	No expression data available	0.5	0.00528405	0.446449995	0.002359064	-0.012349701	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	I20RB_HUMAN	Interleukin-20 receptor subunit beta	4dohB	4dohAB	IL20_HUMAN-I20RB_HUMAN	-5.23	-12.635	29	46	63.04	No expression data available	1	0.966185893	0.630400002	0.609083593	-3.185507298	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	DMRT1_HUMAN	Doublesex- and mab-3-related transcription factor 1	4yj0A	4yj0AB	DMRT1_HUMAN-DMRT1_HUMAN	-5.198	-12.556	27	27	100	No expression data available	0.5	0.162465063	0.5	0.081232533	-0.422246695	
4kw1B	INFLUENZA A VIRUS	HEMAGGLUTININ	SRA1_HUMAN	Steroid receptor RNA activator 1	4nboA	4nboAB	SRA1_HUMAN-SRA1_HUMAN	-5.109	-3.756	18	23	78.26	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.391300023	0.063572586	-0.324792355	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	HG2A_HUMAN	HLA class II histocompatibility antigen gamma chain	1iieB	1iieAB	HG2A_HUMAN-HG2A_HUMAN	-17.375	-8.361	38	49	77.55	No expression data available	1	0.978765589	0.775500059	0.759032786	-13.18819427	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	STK4_HUMAN	Serine/threonine-protein kinase 4	2jo8B	2jo8AB	STK4_HUMAN-STK4_HUMAN	-16.196	-18.541	42	48	87.5	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.972939378	0.875	0.851321936	-13.78800964	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	LMNB1_HUMAN	Lamin-B1	3tyyB	3tyyAB	LMNB1_HUMAN-LMNB1_HUMAN	-13.76	-40.454	65	71	91.55	No expression data available	1.5	0.460747783	1.373250008	0.632721901	-8.706253052	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1tu3G	1tu3FG	RABE1_HUMAN-RABE1_HUMAN	-12.874	-23.487	44	46	95.65	No expression data available	1	0.706160094	0.956499994	0.6754421	-8.695641518	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	SKA2_HUMAN	Spindle and kinetochore-associated protein 2	4aj5N	4aj5KN	SKA2_HUMAN-SKA2_HUMAN	-12.463	-4.097	19	19	100	No expression data available	0.5	0.162465063	0.5	0.081232533	-1.012401104	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	CALM1_HUMAN	Calmodulin-1	6fehB	6fehAB	KCNQ2_HUMAN-CALM1_HUMAN	-11.313	-31.598	46	51	90.2	No expression data available	1.5	0.930755736	1.352999926	1.259312391	-14.2466011	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	PK2L1_HUMAN	Polycystic kidney disease 2-like 1 protein	3te3B	3te3AB	PK2L1_HUMAN-PK2L1_HUMAN	-11.193	-11.332	33	34	97.06	No expression data available	1	0.451185012	0.970599949	0.437920153	-4.901640415	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	AZI2_HUMAN	5-azacytidine-induced protein 2	5ep6A	5ep6AD	AZI2_HUMAN-TBK1_HUMAN	-10.861	-14.712	37	44	84.09	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.433333995	0.840899944	0.364390522	-3.957645416	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	SAV1_HUMAN	Protein salvador homolog 1	6ao5B	6ao5AB	STK3_HUMAN-SAV1_HUMAN	-10.749	-35.682	45	59	76.27	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, urinary bladder"	1.5	0.8899271	1.144050002	1.018121123	-10.94378376	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	AL5AP_HUMAN	Arachidonate 5-lipoxygenase-activating protein	2q7mB	2q7mBF	AL5AP_HUMAN-AL5AP_HUMAN	-10.697	-6.481	28	31	90.32	No expression data available	1	0	0.903199971	0	0	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	RAMP1_HUMAN	Receptor activity-modifying protein 1	3n7pD	3n7pAD	CALRL_HUMAN-RAMP1_HUMAN	-10.443	-13.813	28	38	73.68	No expression data available	1	0.959124392	0.736800015	0.706682861	-7.379889011	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	MSL1_HUMAN	Male-specific lethal 1 homolog	4b7yA	4b7yAD	MSL1_HUMAN-MSL2_HUMAN	-10.395	-8.391	23	27	85.19	No expression data available	0.5	0.08190861	0.425950021	0.034888975	-0.362670928	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	USH1C_HUMAN	Harmonin	2kbrA	2kbrAB	USH1C_HUMAN-CAD23_HUMAN	-10.07	-8.458	18	18	100	No expression data available	0.5	0.279820352	0.5	0.139910176	-1.408895493	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	TRAF1_HUMAN	TNF receptor-associated factor 1	5e1tA	5e1tAC	TRAF1_HUMAN-TRAF1_HUMAN	-9.907	-19.522	40	50	80	No expression data available	1.5	0.107825779	1.200000048	0.12939094	-1.281875968	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	CEP55_HUMAN	Centrosomal protein of 55 kDa	3e1rB	3e1rAB	CEP55_HUMAN-CEP55_HUMAN	-9.819	-17.939	44	44	100	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, colon, duodenum, epididymis, esophagus, gallbladder, kidney, lung, lymph node, parathyroid gland, placenta, rectum, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, stomach 1, testis, thyroid gland, tonsil, urinary bladder"	1	0.748670706	1	0.748670697	-7.35119772	
4kw1D	INFLUENZA A VIRUS	HEMAGGLUTININ	CENPB_HUMAN	Major centromere autoantigen B	1ufiB	1ufiAB	CENPB_HUMAN-CENPB_HUMAN	-9.818	-28.095	36	48	75	"adrenal gland, appendix, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, seminal vesicle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.920757008	0.75	0.690567732	-6.779994011	
